word,count
higher,2
cocomo,2
interact,2
1481,2
short,2
him,2
programming,2
nd,2
hand,2
had,2
dashboard,2
68,2
brunel,2
metricsgrimoire,2
primarily,2
responsible,2
comprises,2
documentation,2
coding,2
nor,2
765,2
horizontal,2
afterwards,2
aggregated,2
validate,2
rank,2
manually,2
understand,2
noted,2
2025,2
6945,2
closer,2
1145,2
self,2
situation,2
collected,2
office,2
assign,2
prone,2
within,2
kouters,2
currently,2
rt,2
mapping,2
personalized,2
man,2
prediction,2
signed,2
ntenance,2
especially,2
von,2
text,2
lower,2
addressed,2
old,2
1077,2
confidence,2
problems,2
public,2
questions,2
indicate,2
equivalent,2
upper,2
growing,2
reason,2
76,2
service,2
brand,2
transformation,2
supportive,2
changed,2
oftware,2
628,2
servers,2
hour,2
til,2
cvsanaly,2
collaborating,2
issue,2
chosen,2
identifiers,2
completely,2
monday,2
green,2
alternative,2
science,2
20h,2
individuals,2
5h,2
classifications,2
web,2
findings,2
did,2
gained,2
differently,2
consequence,2
30h,2
1990s,2
mockus,2
help,2
reproduce,2
madrid,2
ware,2
979,2
git,2
1048,2
kalliamvakou,2
relationship,2
bound,2
systematic,2
operation,2
consistent,2
698,2
procedures,2
calculated,2
max,2
slightly,2
tasks,2
composed,2
specialization,2
complete,2
apply,2
1am,2
emerged,2
tenance,2
identities,2
happens,2
paid,2
extensive,2
cluded,2
dumps,2
take,2
sense,2
linear,2
completed,2
van,2
aintenance,2
allow,2
grow,2
lakhani,2
innovation,2
95,2
259707,2
translating,2
fill,2
libresoft,2
tracking,2
nance,2
fort,2
htt,2
official,2
status,2
proxy,2
refer,2
grown,2
spain,2
few,2
starts,2
produces,2
2000,2
tracked,2
relevance,2
developed,2
velopment,2
specific,2
moment,2
asundi,2
times,2
ance,2
un,2
empirically,2
grows,2
gets,2
significant,2
1014,2
tested,2
misconception,2
gonzalez,2
10h,2
friday,2
funded,2
andrea,2
ccervigon,2
incorrectly,2
regression,2
den,2
1522,2
details,2
copy,2
picture,2
rectly,2
put,2
2822,2
timespan,2
original,2
academic,2
tried,2
column,2
republish,2
requires,2
committer,2
mainly,2
notes,2
qu,2
analytics,2
708,2
get,2
taining,2
her,2
measured,2
dx,2
entropy,2
tracing,2
better,2
classifying,2
axis,2
saas,2
collaborations,2
automatically,2
7109,2
mark,2
scripts,2
sampling,2
ordination,2
platform,2
aim,2
costly,2
288,2
doi,2
pro,2
41,2
authored,2
actual,2
aware,2
fernandez,2
requests,2
lines,2
com,2
asking,2
sources,2
koch,2
dashboard1,2
important,2
policy,2
1000,2
challenges,2
226,2
brackets,2
revisions,2
redistribute,2
digital,2
dedicate,2
zoom,2
former,2
pms,2
agement,2
spaeth,2
slowly,2
like,2
settings,2
ii,2
vasilescu,2
zar,2
200,2
answered,2
volunteers,2
beyond,2
surveys,2
resulting,2
investigate,2
minor,2
search,2
4th,1
scenario,1
libreoffice,1
nonetheless,1
1486,1
practitioner,1
uniformly,1
9797,1
conceptual,1
ctly,1
1383,1
regarding,1
2206,1
120,1
firms,1
1666,1
copyrights,1
able,1
subtracting,1
ecosystems,1
sobresale,1
jesu,1
4171,1
12s2,1
program,1
github,1
2142,1
28th,1
142,1
boxplot,1
find,1
business,1
vacations,1
entifiers,1
support,1
managers,1
hered,1
invest,1
vide,1
normality,1
art,1
fits,1
comprehen,1
223,1
corresponding,1
inaccuracies,1
smoothens,1
portion,1
768,1
recognized,1
production,1
stages,1
significance,1
magnusson,1
2864,1
coded,1
mann,1
internal,1
conclusions,1
spread,1
years,1
window,1
sparse,1
committed,1
cting,1
algorithms,1
filtered,1
1224,1
benefits,1
170,1
nal,1
needed,1
813,1
11s1,1
your,1
78,1
players,1
practices,1
2634,1
priority,1
stays,1
introduction,1
han,1
why,1
1289,1
traditionally,1
62,1
proportion,1
1997,1
324,1
his,1
oh,1
ning,1
vouk,1
attempts,1
313,1
1781,1
mcis,1
ng,1
force,1
3003,1
362,1
13804,1
1208,1
slow,1
fielding,1
17400,1
makes,1
732,1
show,1
eral,1
dif,1
acknowledgments,1
empty,1
developing,1
318,1
suited,1
nec,1
721,1
curve,1
try,1
dress,1
404,1
committers,1
88,1
extended,1
598,1
gathered,1
observe,1
77,1
timestamp,1
produced,1
955,1
1890,1
vmware,1
378,1
798,1
plots,1
applying,1
ource,1
110,1
puts,1
economic,1
site3,1
quevedo,1
history,1
guide,1
interaction,1
experts,1
284,1
ual,1
743,1
481,1
9298,1
wrong,1
timation,1
1295,1
invitation,1
email,1
smooth,1
exist,1
extent,1
urnal,1
4368,1
jorgensen,1
thought,1
1560,1
yes,1
throughout,1
standard,1
comparison,1
analyze,1
umbrellas,1
necessarily,1
duplicate,1
oodness,1
earch,1
subtract,1
1647,1
groupe,1
corrective,1
dizquierdo,1
symposium,1
specifically,1
346,1
ort,1
reader,1
scenarios,1
olution,1
spend,1
broad,1
1112,1
2437,1
44,1
another,1
1334,1
owned,1
tin2011,1
noise,1
650,1
11213,1
ues,1
840,1
2086,1
nies,1
scm,1
quantifying,1
phenomenon,1
follows,1
tool,1
big,1
designed,1
866,1
esearch,1
nowadays,1
misunderstood,1
equates,1
problem,1
ptq,1
5916,1
investigating,1
own,1
involvement,1
mitigated,1
criteria,1
human,1
informing,1
298,1
2140,1
introduce,1
stands,1
quarterly,1
227,1
ave,1
rey,1
must,1
influences,1
gineering,1
2531,1
distribution,1
rce,1
fit,1
interacting,1
3384,1
1407,1
correct,1
26,1
224,1
mistaken,1
growth,1
confirmed,1
incor,1
303,1
krieger,1
january,1
inspection,1
tice,1
ssion,1
750,1
onto,1
examines,1
figures,1
mistakenly,1
cort,1
410,1
ready,1
3783,1
herbsleb,1
invited,1
diverse,1
methodology,1
semesters,1
efforts,1
abstract,1
respondent,1
determine,1
217,1
before,1
samples,1
corporate,1
2189,1
595,1
left,1
persons,1
lution,1
evaluating,1
2618,1
travels,1
reasonably,1
optimal,1
2385,1
advances,1
816,1
1726,1
amd,1
2http,1
mation,1
repro,1
achieved,1
redo,1
conclude,1
contrary,1
10128,1
invalidate,1
job,1
83,1
package4,1
icant,1
1964,1
formally,1
min,1
teers,1
rackspace,1
insights,1
3164,1
1107,1
cortazar,1
tools,1
forward,1
426,1
1164,1
separating,1
build,1
outcome,1
remains,1
apart,1
credit,1
severe,1
regular,1
1635,1
4098,1
displayed,1
contributing,1
implies,1
finally,1
een,1
gross,1
divide,1
dividing,1
computer,1
850,1
unknown,1
performing,1
812,1
330,1
removed,1
parametric,1
solved,1
computing,1
rch,1
ffort,1
8655,1
ue,1
12s1,1
collaborate,1
mitigate,1
5037,1
concepts,1
surpasses,1
particular,1
statement,1
yourself,1
logged,1
assessing,1
1170,1
anecdotal,1
london,1
categorized,1
tail,1
tion,1
interested,1
individ,1
03,1
contact,1
assigns,1
reposi,1
referring,1
correspond,1
riehle,1
pen,1
limiting,1
answers,1
lsa,1
finding,1
fu,1
ch,1
files,1
ized,1
592,1
components,1
228,1
adopting,1
commented,1
importance,1
ges,1
assumption,1
graphically,1
avoid,1
brocade,1
communications,1
merging,1
43,1
edicting,1
universidad,1
participating,1
cannot,1
dahlander,1
pareto,1
traces,1
680,1
28110,1
inferring,1
outliers,1
1830,1
october,1
participation,1
buy,1
ceived,1
729,1
wit,1
nordic,1
factor,1
existing,1
1110,1
comparatively,1
half,1
misinterpreted,1
fitzgerald,1
57,1
conclusion,1
uniform,1
924,1
1056,1
expand,1
traced,1
ournal,1
ndirectly,1
contrasted,1
shah,1
05577,1
know,1
003,1
imum,1
motivation,1
80,1
operate,1
appeared,1
shepperd,1
privacy,1
recognizes,1
hat,1
select,1
1http,1
keeping,1
driven,1
2310,1
various,1
effectively,1
stores,1
1919,1
talking,1
ution,1
relationships,1
reproducibility,1
easier,1
illustrative,1
long,1
7662,1
volun,1
13s2,1
5971,1
law,1
pouloudi,1
656,1
references,1
realistic,1
tory,1
ao,1
3554,1
sulting,1
987,1
241,1
experience,1
depends,1
profitable,1
th,1
points,1
tly,1
interval,1
337,1
descriptors,1
785,1
mmit,1
external,1
esti,1
gousios,1
measurement,1
processes,1
1721,1
exclusively,1
reports,1
06,1
ac,1
60,1
prospective,1
algorithm,1
focus,1
driving,1
government,1
intel,1
afford,1
lies,1
actively,1
2451,1
individual,1
itories,1
varied,1
ture,1
omission,1
cost,1
plausibility,1
schneider,1
2743,1
872,1
230,1
3791,1
tributors,1
309,1
apache,1
cycle,1
irectly,1
753,1
micro,1
median,1
issues,1
easy,1
hundred,1
sampled,1
occurs,1
quickly,1
assertions,1
formula,1
819,1
sified,1
thresholds,1
ctice,1
conversely,1
volution,1
glott,1
cervigo,1
389,1
ascertain,1
corta,1
3346,1
focusing,1
cervig,1
184,1
appropriate,1
inktank,1
en,1
13s1,1
he,1
libre,1
225,1
ice,1
whitney,1
logically,1
improve,1
53,1
clas,1
function,1
strategy,1
3rd,1
contributes,1
dell,1
majority,1
1847,1
missing,1
called,1
sloc,1
pensated,1
little,1
imagine,1
hybrid,1
exists,1
university,1
1410,1
perform,1
1st,1
quantitative,1
308,1
1025,1
taking,1
visual,1
gonz,1
early,1
gratitude,1
ference,1
767,1
assume,1
bar,1
690,1
envisage,1
herraiz,1
chart,1
forms,1
1065,1
categories,1
ystem,1
generally,1
valid,1
webkit,1
arch,1
4484,1
granularity,1
641,1
8370,1
927,1
11891,1
672,1
mens,1
erroneous,1
onth,1
include,1
402,1
86,1
10s2,1
tackles,1
keywords,1
elaborated,1
contained,1
1381,1
10629,1
sample,1
lifespan,1
answer,1
1615,1
claims,1
metadata,1
3074,1
493,1
control,1
stay,1
absolute,1
synchronizes,1
rnal,1
ad,1
avenues,1
members,1
clearer,1
influence,1
8957,1
871,1
294,1
classifier,1
stackforge,1
length,1
actice,1
torres,1
anonymized,1
jesus,1
databases,1
five,1
io,1
395,1
ractice,1
1008,1
006,1
selecting,1
ghosh,1
discussion,1
natural,1
345,1
threat,1
20th,1
lh,1
suppose,1
7466,1
sually,1
honored,1
663,1
longer,1
branches,1
yahoo,1
7876,1
inclusion,1
romera,1
sought,1
specifi,1
1568,1
spinellis,1
predict,1
representativeness,1
mis,1
matter,1
15255,1
always,1
guess,1
hp,1
9683,1
tosem,1
canonical,1
million,1
enough,1
ibm,1
005063,1
average,1
ids,1
statistical,1
719,1
648,1
straight,1
sporadic,1
abstracting,1
ion,1
frequently,1
participate,1
directly,1
8am,1
investigated,1
4http,1
introduces,1
130,1
stability,1
required,1
viability,1
redicting,1
ericsson,1
suse,1
urce,1
collaborative,1
requited,1
votta,1
222,1
toolset2,1
explicit,1
1173,1
close,1
concerned,1
observation,1
manual,1
terms,1
protection,1
dicting,1
novel,1
automatable,1
act,1
includes,1
beginnings,1
cisco,1
translation,1
narrow,1
volunteer,1
authorship,1
observable,1
hosting,1
jgb,1
becoming,1
limit,1
ting,1
sufficiently,1
tell,1
ild,1
2742,1
springer,1
closest,1
420,1
wrongly,1
approved,1
8112,1
having,1
let,1
800,1
ly,1
classify,1
700,1
attract,1
group,1
harmonic,1
interference,1
argument,1
needs,1
11s2,1
757,1
ideally,1
itted,1
construct,1
historic,1
sive,1
limits,1
841,1
1434,1
together,1
applicable,1
reasons,1
tributions,1
355,1
unique,1
action,1
extremely,1
740,1
input,1
achieve,1
lopers,1
questionnaire,1
increase,1
3http,1
12747,1
1242,1
440,1
2275,1
mozilla,1
131,1
1247,1
1493,1
gen,1
229,1
observations,1
830,1
val,1
decay,1
validation,1
2351,1
studying,1
icting,1
right,1
red,1
repos,1
gather,1
964,1
370,1
nt,1
goals,1
juan,1
2821,1
bull,1
timespans,1
compa,1
saturates,1
addresses,1
view,1
7284,1
responses,1
ectly,1
irregularities,1
amounts,1
experiment,1
711,1
1140,1
